x,y,z
-0.674966992126433,-1.66299000193533,-5.081868651705823e-9
-0.613239680556151,-1.66299000193533,-7.558438099472013e-11
-0.551512368985869,-1.66299000193533,-1.0491183918854363e-12
-0.489785057415588,-1.66299000193533,-2.5421615941745415e-14
-0.428057745845306,-1.66299000193533,-4.711927358016497e-13
-0.366330434275024,-1.66299000193533,-1.6272787010044854e-11
-0.304603122704743,-1.66299000193533,-4.459875443413883e-10
-0.242875811134461,-1.66299000193533,-8.685180271080126e-9
-0.181148499564179,-1.66299000193533,-7.98440738203335e-8
-0.119421187993897,-1.66299000193533,-1.7230647903347175e-7
-0.0576938764236156,-1.66299000193533,-6.071747660467474e-8
0.00403343514666653,-1.66299000193533,-4.709585511446327e-9
0.0657607467169478,-1.66299000193533,1.2335395298094063e-8
0.12748805828723,-1.66299000193533,2.4106671281676413e-7
0.189215369857512,-1.66299000193533,1.0757627867648992e-6
0.250942681427793,-1.66299000193533,5.022057757055469e-7
0.312669992998075,-1.66299000193533,1.328320042707747e-6
0.374397304568356,-1.66299000193533,5.129414252431384e-5
0.436124616138638,-1.66299000193533,6.572325311795305e-5
0.49785192770892,-1.66299000193533,1.930147950557392e-6
0.559579239279201,-1.66299000193533,4.214050936776391e-7
0.621306550849484,-1.66299000193533,8.298354158349087e-6
0.683033862419766,-1.66299000193533,1.618755249944771e-5
0.744761173990046,-1.66299000193533,1.6134524642473705e-6
0.806488485560328,-1.66299000193533,1.8113866688020905e-7
0.86821579713061,-1.66299000193533,4.956526162455819e-6
0.929943108700892,-1.66299000193533,2.7720397676455567e-5
-1.23051279625897,-1.61464869221147,-4.926891379026409e-14
-1.16878548468869,-1.61464869221147,-4.087498153976116e-12
-1.10705817311841,-1.61464869221147,-3.4666388084909406e-10
-1.04533086154812,-1.61464869221147,-3.0198156645933184e-8
-0.983603549977842,-1.61464869221147,-2.6916805449429613e-6
-0.92187623840756,-1.61464869221147,-0.000221426151951766
-0.860148926837278,-1.61464869221147,-0.0029144468121929854
-0.798421615266997,-1.61464869221147,-0.00011251467260897206
-0.736694303696715,-1.61464869221147,-1.318580660821007e-6
-0.674966992126433,-1.61464869221147,-1.4823588671953942e-8
-0.613239680556151,-1.61464869221147,-1.709300611766267e-10
-0.551512368985869,-1.61464869221147,-2.02333719889641e-12
-0.489785057415587,-1.61464869221147,-3.460631354034275e-14
-0.428057745845306,-1.61464869221147,-6.637322575426838e-13
-0.366330434275025,-1.61464869221147,-4.2356175741440504e-11
-0.304603122704743,-1.61464869221147,-2.4385375893225e-9
-0.242875811134461,-1.61464869221147,-1.0572683816249225e-7
-0.181148499564179,-1.61464869221147,-2.1463920108827696e-6
-0.119421187993897,-1.61464869221147,-6.7631243277771345e-6
-0.0576938764236152,-1.61464869221147,-1.505960956753862e-6
0.00403343514666653,-1.61464869221147,-6.172415364889109e-8
0.0657607467169478,-1.61464869221147,9.098204150654004e-8
0.12748805828723,-1.61464869221147,4.3612609503243426e-6
0.189215369857511,-1.61464869221147,4.54637920863536e-5
0.250942681427793,-1.61464869221147,1.2272091034548791e-5
0.312669992998075,-1.61464869221147,3.8787458876870165e-6
0.374397304568356,-1.61464869221147,0.0005473082142304189
0.436124616138638,-1.61464869221147,0.0009355480400027342
0.49785192770892,-1.61464869221147,5.6290999787584584e-6
0.559579239279201,-1.61464869221147,2.4340237427796196e-6
0.621306550849484,-1.61464869221147,0.00017727305984632376
0.683033862419766,-1.61464869221147,0.00068194296779122
0.744761173990046,-1.61464869221147,1.4604553377682603e-5
0.806488485560329,-1.61464869221147,1.8228496585478716e-7
0.86821579713061,-1.61464869221147,2.118881049418355e-7
0.929943108700892,-1.61464869221147,6.365506384939637e-7
-1.23051279625897,-1.56630738248761,-5.516611330892938e-14
-1.16878548468869,-1.56630738248761,-4.687130357891968e-12
-1.10705817311841,-1.56630738248761,-4.1221812791155206e-10
-1.04533086154812,-1.56630738248761,-3.8199751325743515e-8
-0.983603549977842,-1.56630738248761,-3.8676992317855855e-6
-0.92187623840756,-1.56630738248761,-0.0004686361134896363
-0.860148926837278,-1.56630738248761,-0.02648303625882228
-0.798421615266997,-1.56630738248761,-0.00021450435451208068
-0.736694303696715,-1.56630738248761,-1.84152172162887e-6
-0.674966992126433,-1.56630738248761,-1.8517275788696843e-8
-0.613239680556151,-1.56630738248761,-2.0183828043277745e-10
-0.551512368985869,-1.56630738248761,-2.3099683831802552e-12
-0.489785057415588,-1.56630738248761,-4.5962683312568814e-14
-0.428057745845306,-1.56630738248761,-1.4989487129915899e-12
-0.366330434275024,-1.56630738248761,-1.21522741934454e-10
-0.304603122704743,-1.56630738248761,-9.819706872826768e-9
-0.24287581113446,-1.56630738248761,-7.537249742295102e-7
-0.181148499564179,-1.56630738248761,-4.254833326044023e-5
-0.119421187993897,-1.56630738248761,-0.0003163276760912828
-0.0576938764236152,-1.56630738248761,-2.4924434998398658e-5
0.00403343514666653,-1.56630738248761,-4.021731978481047e-7
0.0657607467169483,-1.56630738248761,2.8319560674643915e-7
0.12748805828723,-1.56630738248761,3.0523375379085616e-5
0.189215369857512,-1.56630738248761,0.0024317538772280576
0.250942681427793,-1.56630738248761,0.0001402918247530771
0.312669992998075,-1.56630738248761,2.9228381280446785e-6
0.374397304568357,-1.56630738248761,8.150014920814092e-5
0.436124616138638,-1.56630738248761,0.00010762490393431166
0.49785192770892,-1.56630738248761,2.5059596239785615e-6
0.559579239279202,-1.56630738248761,3.616590357641212e-6
0.621306550849484,-1.56630738248761,0.00045800399414419656
0.683033862419766,-1.56630738248761,0.0036386322620459255
0.744761173990046,-1.56630738248761,2.5022495404007512e-5
0.806488485560328,-1.56630738248761,2.2836218590862437e-7
0.86821579713061,-1.56630738248761,9.722516443463823e-9
-1.23051279625897,-1.51796607276375,-3.912915010240736e-14
-1.16878548468869,-1.51796607276375,-3.096361928154606e-12
-1.10705817311841,-1.51796607276375,-2.445450254332194e-10
-1.04533086154812,-1.51796607276375,-1.8921617935249684e-8
-0.983603549977842,-1.51796607276375,-1.340517397410286e-6
-0.92187623840756,-1.51796607276375,-6.337181677653845e-5
-0.860148926837278,-1.51796607276375,-0.00037735707046311493
-0.798421615266997,-1.51796607276375,-3.660324793080652e-5
-0.736694303696715,-1.51796607276375,-6.899240983198682e-7
-0.674966992126433,-1.51796607276375,-9.511378853804236e-9
-0.613239680556151,-1.51796607276375,-1.2223184636556895e-10
-0.551512368985869,-1.51796607276375,-1.5463699305273426e-12
-0.489785057415588,-1.51796607276375,-4.394033678022212e-14
-0.428057745845306,-1.51796607276375,-2.08332699354132e-12
-0.366330434275024,-1.51796607276375,-1.8438959766090683e-10
-0.304603122704743,-1.51796607276375,-1.7240987677242355e-8
-0.242875811134461,-1.51796607276375,-1.7732573373777146e-6
-0.181148499564179,-1.51796607276375,-0.00022585667265934367
-0.119421187993897,-1.51796607276375,-0.026579577693188344
