"","longitude","latitude","long_sc","lat_sc","elevation","nearest_water_type","nearest_water_lat","nearest_water_lon","nearest_water_lat_sc","nearest_water_lon_sc","geo_region_5000","geo_region_4_5000","geo_region_3200","cat_5000","cat_4_5000","cat_3200","cat_math"
"3148",21.65,1,-0.428057745845306,1.04412334260091,-1.01046151463633,"river",2.00580475468162,21.206787109375,1.13878733758789,-0.496517233146264,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3149",22.15,1,-0.366330434275024,1.04412334260091,-1.03452840374209,"river",1.95892975468162,22.714599609375,1.13425863989797,-0.307804866652466,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3150",22.65,1,-0.304603122704743,1.04412334260091,-0.927321352270971,"river",1.48781159061912,23.323486328125,1.08874286941753,-0.231598804146713,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3151",23.15,1,-0.24287581113446,1.04412334260091,-0.782920017636403,"river",1.22675202030662,23.551904296875,1.06352132546006,-0.203010836191464,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3152",23.65,1,-0.181148499564179,1.04412334260091,-0.982018827511337,"river",1.11957428593162,23.68408203125,1.05316664688778,-0.186467948364436,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3153",24.15,1,-0.119421187993897,1.04412334260091,-0.927321352270971,"river",0.971063543744108,24.14013671875,1.03881869477955,-0.12938979088218,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3154",24.65,1,-0.0576938764236152,1.04412334260091,-0.826677997828696,"river",1.26117584843162,24.56044921875,1.06684708782609,-0.0767849964916783,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3155",25.15,1,0.00403343514666653,1.04412334260091,-0.874811776040219,"river",1.32880280155662,24.8306640625,1.07338067772249,-0.0429658826258554,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3156",25.65,1,0.0657607467169478,1.04412334260091,-0.782920017636403,"river",1.50324127811912,25.27294921875,1.09023356574046,0.012388930058756,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3157",26.15,1,0.12748805828723,1.04412334260091,-0.785107916646018,"river",1.69020416874412,26.6333984375,1.10829646517246,0.182657840526704,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3158",26.65,1,0.189215369857511,1.04412334260091,-0.485365752328809,"river",1.67433502811912,26.67236328125,1.10676331230868,0.18753453963493,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3159",27.15,1,0.250942681427793,1.04412334260091,-0.693216158242202,"river",1.34621002811912,27.5654296875,1.07506242847922,0.299307505411211,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3160",27.65,1,0.312669992998075,1.04412334260091,-0.577257510732625,"river",1.31146881718162,27.749755859375,1.07170600305591,0.322377103322937,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3161",28.15,1,0.374397304568356,1.04412334260091,-0.489741550348039,"river",1.20294830936912,28.300048828125,1.06122159616439,0.391249783711055,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3162",28.65,1,0.436124616138638,1.04412334260091,-0.244696861271197,"river",1.00238678593162,28.65771484375,1.04184490266298,0.43601397038745,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3163",29.15,1,0.49785192770892,1.04412334260091,0.0266026159210208,"river",1.05861237186912,29.17392578125,1.04727698119417,0.500621066843812,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3164",29.65,1,0.559579239279202,1.04412334260091,0.306653689151697,"river",1.25685455936912,29.627685546875,1.0664295985078,0.557412000193127,"savanna","savanna","tropical_rainforest",6,6,3,15
